a	and
se	se
to	it
je	is
na	on
v	in
ale	but
že	that
jsem	am
film	film
tak	so
s	with
z	of
si	yes
o	o
i	and
jako	as
co	what
mě	me
do	to
za	for
filmu	film
už	already
mi	me
jen	just
by	by
jak	how
ani	neither
pro	for
po	after
ve	and
k	to
když	when
který	who
jsou	are
byl	was
není	isn't
tohle	this
u	at
ještě	still
až	to
asi	about
od	from
než	than
opravdu	really
nic	nothing
které	which
jeho	his
ten	the
moc	power
bych	would
má	has
prostě	just
bylo	was
nebo	or
toho	that
tento	this
tu	here
ze	that
ne	no
snad	perhaps
něco	something
která	which
vůbec	all
já	i
tam	push
byla	was
naprosto	absolutely
tomu	tom
být	be
kdy	when
jeden	one
ty	you
tenhle	this one
protože	because
příběh	story
ho	him
tom	tom
jinak	otherwise
pak	then
viděl	saw
seriál	serial
velmi	very
hodně	lots
no	no
bez	without
možná	maybe
první	first
víc	more
filmů	movies
měl	had
nejlepší	best
kde	where
aby	that
tady	here
trochu	little
tím	team
ta	the
filmy	movies
dost	enough
proč	why
taky	too
sice	although
zde	here
mám	have
nikdy	never
další	next
bohužel	unfortunately
kdo	who
mu	him
při	at
navíc	addition
odpad	waste
pár	few
fakt	fact
stejně	well
hlavní	main
své	their
takže	so
herci	actors
komedie	comedy
tohoto	this
let	flight
rád	order
všechno	all
mezi	between
hlavně	mainly
bude	be
scénář	screenplay
všech	all
hodnocení	evaluation
docela	quite
hudba	music
lepší	better
pokud	if
vidět	see
díl	part
vše	all
výkony	performances
podle	according
sem	pull
může	can
vlastně	actually
scény	scenes
více	more
snímek	image
všechny	all
někdo	someone
dobře	good
děj	plot
nemá	doesn't
jestli	if
herecké	acting
kdyby	if
úplně	completely
roli	role
také	also
dvě	two
celý	whole
před	before
jde	goes
člověk	human
nuda	boredom
rozhodně	definitely
jenom	only
nevím	don't know
jejich	their
či	whose
těch	those
ovšem	course
což	which
proto	therefore
akční	action
kterou	which
minut	minutes
zase	again
jedna	one
však	however
díky	thanks
konec	end
postavy	characters
tomto	this
třeba	maybe
musím	have
mohl	could
nějak	somehow
kteří	who
škoda	damage
vážně	seriously
jednou	once
nad	over
začátku	beginning
celkem	total
ke	to
něj	him
pouze	only
tedy	therefore
říct	say
každý	each
té	of
určitě	certainly
pořád	show
d	d
době	time
všichni	all
takhle	like this
nakonec	finally
opět	again
velice	very
musí	must
spíš	sleeping
dlouho	long
alespoň	least
přes	over
dá	give
dobrý	good
svou	my
byly	were
právě	just
toto	this
celé	whole
myslím	think
dobu	time
příliš	much
jednu	one
konce	end
poslední	last
scéna	scene
takový	such
nechápu	don't understand
skvělý	great
sebe	myself
vždy	always
režisér	director
skoro	almost
vám	you
vás	your
dnes	today
můj	my
spíše	rather
teď	now
seriálu	series
přesto	yet
dialogy	dialogues
ti	you
konci	end
mne	me
jim	them
dát	give
scén	scenes
samozřejmě	course
stále	still
ji	her
postav	set
tolik	many
nám	us
jsme	are
série	series
někdy	sometimes
nemám	don't have
ano	yes
pod	under
stojí	stands
dokonce	even
atmosféra	atmosphere
sám	alone
letech	years
nejlepších	best
dva	two
zcela	completely
již	already
některé	some
nás	our
akce	action
kvůli	due
vynikající	excellent
lidí	people
nebylo	wasn't
málo	little
neviděl	didn't see
aspoň	least
občas	sometimes
role	role
svým	his
mnohem	much
nebyl	wasn't
času	time
celou	whole
ať	let
horší	worse
hraje	plays
herců	actors
proti	against
její	her
takové	such
abych	that
děti	children
místo	place
dal	gave
mají	have
nejhorší	worst
výkon	performance
humor	humor
skvěle	great
totiž	namely
jedno	one
dávám	give
mně	me
nějaký	some
jo	yeah
skutečně	really
skvělé	great
obsazení	cast
mít	have
mého	mine
snaží	trying
natočit	record
hned	brown
čekal	waited
pokračování	continuation
horor	horror
především	primarily
