.	.
,	,
and	a
a	a
of	z
to	na
is	je
/	/
>	>
<	<
br	br
it	to
in	v
i	i
this	tento
that	že
"	"
's	je
was	byl
as	jako
with	s
for	pro
movie	film
but	ale
film	film
)	)
you	vy
(	(
on	na
n't	ne
not	ne
are	jsou
he	on
his	jeho
have	mít
be	být
one	jeden
!	!
at	na
all	všechno
they	ony
by	podle
an	an
who	szo
from	z
so	tak
like	jako
-	-
there	tam
or	nebo
just	prostě
do	dělat
her	její
about	o
has	má
if	pokud
out	ven
what	co
?	?
some	nějaký
good	dobrý
more	více
when	když
very	velmi
she	ona
would	bych
even	dokonce
no	ne
my	můj
up	nahoru
time	čas
can	umět
which	který
only	pouze
really	opravdu
story	příběh
their	jejich
see	vidět
had	měl
'	''
were	byly
we	my
me	mě
did	dělal
does	dělá
:	:
than	než
well	studna
much	hodně
could	mohl
been	byl
get	dostat
will	vůle
other	jiný
bad	špatný
people	lidé
into	do
great	skvělý
also	taky
because	protože
how	jak
most	většina
him	mu
first	prvé
its	své
them	jim
then	pak
made	vyrobeno
way	způsob
too	také
make	udělat
any	žádný
movies	filmy
after	po
characters	znaky
think	myslet
watch	hodinky
*	*
character	charakter
films	filmy
many	mnoho
;	;
seen	vidět
two	dva
being	bytost
never	nikdy
love	milovat
plot	spiknutí
acting	herectví
where	kde
best	nejlepší
little	málo
show	ukázat
know	vědět
life	život
ever	vůbec
your	vaše
better	lepší
man	muž
off	vypnuto
here	tady
end	konec
still	pořád
over	přes
s	s
scene	scéna
these	tyto
say	říci
should	by
why	proč
while	zatímco
scenes	scény
something	něco
've	jsem
such	takový
go	jít
through	přes
those	ty
back	zadní
'm	'm
thing	věc
watching	dívat
real	nemovitý
now	nyní
funny	legrační
director	ředitel
though	ačkoli
actors	herci
years	let
another	další
10	10
before	před
makes	dělá
actually	vlastně
nothing	nic
work	práce
look	koukni
find	nalézt
new	nový
lot	hodně
same	stejný
going	jít
every	každý
few	málo
old	starý
again	znovu
part	část
&	&
're	're
us	nás
cast	obsazení
world	svět
things	věci
quite	docela
want	chci
pretty	dosti
got	dostal
seems	zdá
ca	ca.
down	dolů
around	kolem
enough	dost
young	mladá
horror	hrůza
take	vzít
both	oba
however	nicméně
fact	skutečnost
big	velký
may	smět
give	dát
own	vlastní
thought	myslel
comedy	komedie
between	mezi
long	dlouho
without	bez
right	že jo
music	hudba
original	originál
times	krát
always	vždy
almost	téměř
saw	viděl
come	přijít
gets	dostane
must	musí
action	akce
series	série
2	2
guy	chlap
interesting	zajímavý
role	role
whole	celý
least	nejméně
point	směřovat
done	hotovo
script	skript
bit	bit
minutes	minut
might	mohl
far	daleko
family	rodina
'll	'll
anything	cokoliv
feel	cítit
since	od
am	dopoledne
last	poslední
performance	výkon
probably	pravděpodobně
kind	druh
yet	dosud
away	pryč
anyone	kdokoliv
fun	zábava
rather	spíše
worst	nejhorší
tv	televize
girl	dívka
sure	určitě
woman	žena
each	každý
found	nalezeno
played	hrál
making	tvorba
our	náš
although	ačkoli
especially	zvláště
believe	věřit
having	mít
trying	zkouším
day	den
course	kurs
hard	tvrdý
everything	všechno
comes	přijde
dvd	dvd
goes	jde
put	dát
worth	hodnota
